stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
25,0.5,20.0,26.995774199953303,,26.981156500056386,26.995774199953303,27.4961927998811,27.4961927998811,27.4961927998811,27.79624449997209,27.912809999892488,right,20.0,1,1,0.4080264000222087,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
26,0.5,20.0,27.928534999955446,,27.91288760001771,27.928534999955446,28.42919599986635,28.42919599986635,28.42919599986635,28.729089400032535,28.81405909988098,right,20.0,1,1,0.3744810000061989,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
27,0.5,19.5,28.82931589987129,,28.814200300024822,28.82931589987129,29.328477599890903,29.328477599890903,29.328477599890903,29.62947400007397,29.83082149992697,left,-19.5,1,1,0.49804210010915995,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
28,0.5,19.5,29.8454338000156,,29.830958999926224,29.8454338000156,30.345701799960807,30.345701799960807,30.345701799960807,30.64558000001125,30.88099620002322,right,19.5,1,1,0.5190799999982119,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
29,0.5,19.5,30.89570360002108,,30.881141799967736,30.89570360002108,31.39545529987663,31.39545529987663,31.39545529987663,31.695281599881127,31.679957899963483,left,-19.5,1,1,0.27066430007107556,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
30,0.5,19.0,31.695281599881127,,31.680064799962565,31.695281599881127,32.19565890007652,32.19565890007652,32.19565890007652,32.495854099979624,32.530376999871805,right,19.0,1,1,0.31840509991161525,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
31,0.5,19.0,32.54516540002078,,32.530476700048894,32.54516540002078,33.02880179998465,33.02880179998465,33.04524439992383,33.329629899933934,33.34781980002299,right,19.0,0,0,0.31486070016399026,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
32,0.5,19.5,33.36221270007081,,33.34793920000084,33.36221270007081,33.862968100002035,33.862968100002035,33.862968100002035,34.16202359995805,34.29822529992089,left,-19.5,1,1,0.4233927000313997,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
33,0.5,19.5,34.312177099986,,34.29837239999324,34.312177099986,34.81310059991665,34.81310059991665,34.81310059991665,35.11317999986932,35.14777549984865,right,19.5,1,1,0.33057290012948215,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
34,0.5,19.5,35.16218329989351,,35.14789759996347,35.16218329989351,35.66226079990156,35.66226079990156,35.66226079990156,,35.69572649989277,left,-19.5,1,1,0.022575799841433764,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
