trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	tilt	participant	session	date	expName	psychopyVersion	frameRate	expStart
39	0	39	0	62.8937804		62.8816851	62.8937804	63.8938524	63.8938524	63.8938524	64.1938828	64.7451528	up	1	0.8422973	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
40	0	40	0	64.7603482		64.7480085	64.7603482	65.7606528	65.7606528	65.7606528	66.0605821	66.2785588	down	1	0.5022742	None	-3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
41	0	41	0	66.2937456		66.2819624	66.2937456	67.2938386	67.2938386	67.2938386	67.59376	68.161934	up	0	0.8579516	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
42	0	42	0	68.1771138		68.1650316	68.1771138	69.1773158	69.1773158	69.1773158	69.477249	69.8957802	up	0	0.7167442	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
43	0	43	0	69.9104935		69.8989782	69.9104935	70.910747	70.910747	70.910747	71.21061	71.4451216	down	1	0.518437	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
44	0	44	0	71.4606215		71.4483321	71.4606215	72.4607276	72.4607276	72.4607276	72.7606839	73.0952028	up	1	0.6224455	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
45	0	45	0	73.1104787		73.098371	73.1104787	74.1106892	74.1106892	74.1106892	74.4109687	74.9619923	down	1	0.8397541	None	-2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
46	0	46	0	74.977141		74.9651269	74.977141	75.9773326	75.9773326	75.9773326	76.2772258	76.4122134	up	1	0.4279147	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
47	0	47	0	76.4272369		76.4153752	76.4272369	77.4274719	77.4274719	77.4274719	77.7272749	78.2121517	up	1	0.7698978	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
48	0	48	0	78.2273758		78.2153503	78.2273758	79.2273529	79.2273529	79.2273529	79.5272311	80.1954453	up	0	0.9594782	None	-2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
49	0	49	0	80.2104283		80.1984415	80.2104283	81.2107435	81.2107435	81.2107435	81.5106651	82.045177	up	1	0.8170904	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
50	0	50	0	82.0607597		82.0484091	82.0607597	83.0606938	83.0606938	83.0606938	83.3606006	83.7287052	down	1	0.6524604	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
51	0	51	0	83.7437427		83.7319358	83.7437427	84.7439139	84.7439139	84.7439139	85.0439233	85.3451276	down	1	0.5934271	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
52	0	52	0	85.360567		85.3481384	85.360567	86.3606878	86.3606878	86.3606878	86.6607344	87.2286131	down	1	0.8609327	None	-4	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
53	0	53	0	87.2438342		87.2318747	87.2438342	88.2439048	88.2439048	88.2439048	88.5437973	88.9284365	up	1	0.6804571	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
54	0	54	0	88.9437731		88.9308694	88.9437731	89.943831	89.943831	89.943831	90.2438525	90.6451867	up	1	0.6862553	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
